2026-09-06_11:09:33	results/planC/mumtaz_ac_softmax_f010	#124	-g 6G -c 2 -m 8
2026-09-06_11:09:34	results/planC/mumtaz_ac_softmax_f025	#125	-g 6G -c 2 -m 8
2026-09-06_11:09:34	results/planC/mumtaz_ac_softmax_f050	#126	-g 6G -c 2 -m 8
2026-09-06_11:09:34	results/planC/seed_iv_no_multiscale	#127	-g 6G -c 2 -m 8
2026-09-06_11:09:34	results/planC/mumtaz_no_multiscale	#128	-g 6G -c 2 -m 8
2026-09-06_11:09:34	results/planC/mumtaz_episodic	#130	-g 6G -c 2 -m 8
2026-09-06_11:09:34	results/planB/tuab_eegnet_f010	#132	-g 6G -c 2 -m 16
2026-09-06_11:09:35	results/planB/tuab_bigcnn_f010	#136	-g 6G -c 2 -m 16
2026-09-06_11:09:35	results/planB/tuab_bigcnn_f025	#137	-g 6G -c 2 -m 16
2026-09-06_11:09:35	results/planB/tuab_bigcnn_f050	#138	-g 6G -c 2 -m 16
2026-09-06_11:09:35	results/planB/tuab_transformer_f100	#139	-g 6G -c 2 -m 16
2026-09-06_11:09:35	results/planB/tuab_transformer_f010	#140	-g 6G -c 2 -m 16
2026-09-06_11:09:35	results/planB/tuab_transformer_f025	#141	-g 6G -c 2 -m 16
2026-09-06_11:09:36	results/planB/tuab_transformer_f050	#142	-g 6G -c 2 -m 16
2026-09-06_21:31:51	results/planB/mumtaz_frontal7_v1	#155	-g 6G -c 2 -m 8
2026-09-06_21:31:51	results/planB/mumtaz_frontal7_eegnet	#156	-g 4G -c 2 -m 8
2026-09-06_21:31:51	results/planB/cavanagh_frontal7_v1	#157	-g 6G -c 2 -m 8
2026-09-06_21:31:52	results/planB/cavanagh_frontal7_eegnet	#158	-g 4G -c 2 -m 8
2026-09-08_14:50:37	results/planC/seed_iv_episodic	#195	-g 6G -c 2 -m 8
2026-09-08_14:50:37	results/planB/tuab_eegnet_f025	#196	-g 6G -c 2 -m 16
2026-09-08_14:50:37	results/planB/tuab_eegnet_f050	#197	-g 6G -c 2 -m 16
2026-09-08_14:50:37	results/planB/tuab_bigcnn_f100	#198	-g 6G -c 2 -m 16
2026-09-09_15:01:08	results/planB/cavanagh_tapnet_f100	#204	-g 7G -c 2 -m 8
2026-09-09_15:01:08	results/planB/cavanagh_tapnet_f050	#205	-g 7G -c 2 -m 8
2026-09-09_15:01:08	results/planB/seed_iv_tapnet_f100	#206	-g 4G -c 2 -m 8
2026-09-09_15:01:08	results/planB/seed_iv_tapnet_f025	#207	-g 4G -c 2 -m 8
2026-09-09_15:01:08	results/planB/seed_iv_tapnet_f050	#208	-g 4G -c 2 -m 8
2026-09-09_15:01:08	results/planB/mumtaz_tapnet_f100	#209	-g 7G -c 2 -m 8
2026-09-09_15:01:09	results/planB/mumtaz_tapnet_f025	#210	-g 7G -c 2 -m 8
2026-09-09_15:01:09	results/planB/mumtaz_tapnet_f050	#211	-g 7G -c 2 -m 8
2026-09-09_15:01:09	results/planB/tuab_tapnet_f100	#212	-g 7G -c 2 -m 16
2026-09-09_15:01:09	results/planB/tuab_tapnet_f010	#213	-g 7G -c 2 -m 16
2026-09-09_15:01:09	results/planB/tuab_tapnet_f025	#214	-g 7G -c 2 -m 16
2026-09-09_15:01:09	results/planB/tuab_tapnet_f050	#215	-g 7G -c 2 -m 16
2026-09-12_01:02:57	results/planB/tuab_eegnet_f100	#405	-g 6G -c 2 -m 16
