2026-09-06_11:09:30	results/planC/seed_iv_bigcnnproto_f100	#93	-g 6G -c 2 -m 8
2026-09-06_11:09:30	results/planC/seed_iv_bigcnnproto_f010	#94	-g 6G -c 2 -m 8
2026-09-06_11:09:30	results/planC/seed_iv_bigcnnproto_f025	#95	-g 6G -c 2 -m 8
2026-09-06_11:09:30	results/planC/seed_iv_bigcnnproto_f050	#96	-g 6G -c 2 -m 8
2026-09-06_11:09:30	results/planC/mumtaz_bigcnnproto_f100	#97	-g 6G -c 2 -m 8
2026-09-06_11:09:30	results/planC/mumtaz_bigcnnproto_f010	#98	-g 6G -c 2 -m 8
2026-09-06_11:09:30	results/planC/mumtaz_bigcnnproto_f025	#99	-g 6G -c 2 -m 8
2026-09-06_11:09:30	results/planC/mumtaz_bigcnnproto_f050	#100	-g 6G -c 2 -m 8
2026-09-06_11:09:31	results/planB/cavanagh_eegnet_f010	#101	-g 4G -c 2 -m 8
2026-09-06_11:09:31	results/planB/cavanagh_eegnet_f025	#102	-g 4G -c 2 -m 8
2026-09-06_11:09:31	results/planB/cavanagh_eegnet_f050	#103	-g 4G -c 2 -m 8
2026-09-06_11:09:31	results/planB/cavanagh_bigcnn_f100	#104	-g 4G -c 2 -m 8
2026-09-06_11:09:31	results/planB/cavanagh_bigcnn_f010	#105	-g 4G -c 2 -m 8
2026-09-06_11:09:31	results/planB/cavanagh_bigcnn_f025	#106	-g 4G -c 2 -m 8
2026-09-06_11:09:31	results/planB/cavanagh_bigcnn_f050	#107	-g 4G -c 2 -m 8
2026-09-06_11:09:31	results/planB/cavanagh_transformer_f100	#108	-g 4G -c 2 -m 8
2026-09-06_11:09:32	results/planB/cavanagh_transformer_f010	#109	-g 4G -c 2 -m 8
2026-09-06_11:09:32	results/planB/cavanagh_transformer_f025	#110	-g 4G -c 2 -m 8
2026-09-06_11:09:32	results/planB/cavanagh_transformer_f050	#111	-g 4G -c 2 -m 8
2026-09-06_11:09:32	results/planB/cavanagh_tapnet_f010	#113	-g 6G -c 2 -m 8
2026-09-06_11:09:32	results/planB/cavanagh_tapnet_f025	#114	-g 6G -c 2 -m 8
2026-09-06_11:09:33	results/planB/seed_iv_tapnet_f010	#117	-g 6G -c 2 -m 8
2026-09-06_11:09:33	results/planB/mumtaz_tapnet_f010	#121	-g 6G -c 2 -m 8
